model_name,model_path,bleu,rougeL,rouge1,rouge2,sari,avg_jaccard_train_output,error,model_name_old,Sweep ID,Origin Folder,Dataset,Model Size,Metric Type,metric_epoch,metric_loss,metric_rouge1,metric_rouge2,metric_rougeL,metric_rougeLsum,metric_sari,metric_step,config_architectures,config_d_model,config_name_or_path,config_num_heads,config_num_layers,train_eval_batch_size,train_learning_rate,train_lr_scheduler,train_num_epochs,train_optimizer,train_train_batch_size,train_weight_decay,model_path_normalized
content_simplifier_t5_base_simple_trainer_ROUGE,D:\trained_models\content_simplifier_t5_base_simple_trainer_ROUGE,0.19683537571948928,0.34287033413155943,0.3902440133236463,0.22520004493205686,42.223857435526256,0.28137660953806753,,,,,,,,,,,,,,,,,,,,,,,,,,,,D:\trained_models\content_simplifier_t5_base_simple_trainer_ROUGE
content_simplifier_t5_base_simple_trainer_ROUGE_unfiltered,D:\trained_models\content_simplifier_t5_base_simple_trainer_ROUGE_unfiltered,0.19791787332283364,0.35469434832486957,0.40461447497871694,0.23352788577268938,44.17107985636097,0.29296444779900443,,,,,,,,,,,,,,,,,,,,,,,,,,,,D:\trained_models\content_simplifier_t5_base_simple_trainer_ROUGE_unfiltered
content_simplifier_t5_base_simple_trainer_ROUGE_v3,D:\trained_models\content_simplifier_t5_base_simple_trainer_ROUGE_v3,0.19906821732223773,0.35000611347449573,0.40253852289077263,0.22958274602559617,43.7843278744502,0.2926332236513922,,,,,,,,,,,,,,,,,,,,,,,,,,,,D:\trained_models\content_simplifier_t5_base_simple_trainer_ROUGE_v3
content_simplifier_t5_small_simple_trainer_ROUGE_v2,D:\trained_models\content_simplifier_t5_small_simple_trainer_ROUGE_v2,0.19056992667648182,0.3426192095096646,0.3947343286229004,0.2253635957591603,42.57598573969359,0.2925488199298621,,,,,,,,,,,,,,,,,,,,,,,,,,,,D:\trained_models\content_simplifier_t5_small_simple_trainer_ROUGE_v2
content_simplifier_t5_small_simple_trainer_SARI,D:\trained_models\content_simplifier_t5_small_simple_trainer_SARI,0.19901245084032365,0.34520359876276924,0.3978637112444114,0.2268475876071946,43.541517001870304,0.28121281183386393,,,,,,,,,,,,,,,,,,,,,,,,,,,,D:\trained_models\content_simplifier_t5_small_simple_trainer_SARI
final_t5-small-sari_general_simplification_v1,D:\trained_models\final_t5-small-sari_general_simplification_v1,0.14761988027612988,0.32243422354743,0.3727485774757697,0.20349155056445048,37.86051133066554,0.26232046169167744,,,,,,,,,,,,,,,,,,,,,,,,,,,,D:\trained_models\final_t5-small-sari_general_simplification_v1
final_t5_sari_best_model,D:\trained_models\final_t5_sari_best_model,0.1758364307403642,0.3397245675183902,0.38700553314962144,0.21722831737076398,41.983837380722285,0.2802954027403672,,,,,,,,,,,,,,,,,,,,,,,,,,,,D:\trained_models\final_t5_sari_best_model
final_t5_sari_best_model_epoch_15,D:\trained_models\final_t5_sari_best_model_epoch_15,0.12681682896620025,0.3031315982527599,0.35277427942374157,0.18544185759579507,36.52021618937612,0.2556152839370794,,,,,,,,,,,,,,,,,,,,,,,,,,,,D:\trained_models\final_t5_sari_best_model_epoch_15
final_t5_sari_best_model_epoch_25,D:\trained_models\final_t5_sari_best_model_epoch_25,0.13068463682258036,0.3063126287833997,0.35219308851740694,0.18654099315956907,36.91679028273399,0.2525234961768669,,,,,,,,,,,,,,,,,,,,,,,,,,,,D:\trained_models\final_t5_sari_best_model_epoch_25
final_t5_small_sari_best_model_epoch_25,D:\trained_models\final_t5_small_sari_best_model_epoch_25,,,,,,,"Can't load tokenizer for 'D:\trained_models\final_t5_small_sari_best_model_epoch_25'. If you were trying to load it from 'https://huggingface.co/models', make sure you don't have a local directory with the same name. Otherwise, make sure 'D:\trained_models\final_t5_small_sari_best_model_epoch_25' is the correct path to a directory containing all relevant files for a T5TokenizerFast tokenizer.",,,,,,,,,,,,,,,,,,,,,,,,,,,D:\trained_models\final_t5_small_sari_best_model_epoch_25
